naslov,avtor,tip_oddaje,datum
O urbani podobi slovenskih mest in vasi z Vladimirjem Drozgom,Pavel Lipovšek,Urbi et orbi,28. 5. 2022 – 15.00
O gibih odtujenosti,Urška Savič,Subjekt meseca,27. 5. 2022 – 18.00
Prihodnost so lezbijke,Brina Jerko,Kulturni obzornik,27. 5. 2022 – 15.10
Amerika te gleda,Samo Oleami,Teater v eter,27. 5. 2022 – 13.30
Show 894: 30 years of Moacrealsloa (Radio Panik),Kulturno uredništvo,Radia Network,26. 5. 2022 – 22.30
Kraški ustvarjalci na ulici,Iva Slosar,Kulturna diagnoza,26. 5. 2022 – 18.00
"Bi, a zdajle res nimam časa",Valerija Intihar,Kulturni obzornik,26. 5. 2022 – 15.10
Kdo smo? Kam gremo? V kaj bomo oblečeni?,Metod Zupan,Fine umetnosti,26. 5. 2022 – 13.30
Kaj pomenijo vse te črke?,Lucija Klauž,Kulturni obzornik,25. 5. 2022 – 15.10
Chassé zadnje šanse?,Anže Okorn,Teater v eter,25. 5. 2022 – 13.30
Unfinished sympathy,Michael C. Jumic,Leteči pilot,24. 5. 2022 – 21.00
»To je park!«,Lara Pustinek Miočić,Kulturni Offsajd,24. 5. 2022 – 18.00
Čuječnost zunanjih predavanj,Tina Tomšič,Kulturni obzornik,24. 5. 2022 – 15.10
Igriva prodornost med tradicijo in sodobnostjo,Metod Zupan,Teater v eter,24. 5. 2022 – 13.30
Sad boi hour & Hot girl summer,Metod Zupan,Odprti termin za kulturo,23. 5. 2022 – 23.00
Pri Obertrafikantu,Samo Oleami,Kreativna inšpekcija,23. 5. 2022 – 15.10
Prizemljena odtujenost sveta drugega,Tina Tomšič,Fine umetnosti,23. 5. 2022 – 13.30
Fragmenti o Pasoliniju,Anja Zidar,Objekt meseca,22. 5. 2022 – 20.00
Prekletstvo razumljivosti,Samo Oleami,Ulična kritika,22. 5. 2022 – 18.00
Sodobna novozelandska proza III: Keri Hulme,Anja Zidar,Tu pa tam,21. 5. 2022 – 12.00
Bežigrajski (športni) park,Metod Zupan,Odprti termin za kulturo,20. 5. 2022 – 18.00
Arhiviranje prihodnosti,Valerija Intihar,Kulturni obzornik,20. 5. 2022 – 15.09
S poezijo na okope,Pia Nikolič,Striptiz,20. 5. 2022 – 13.30
Show 893: Unidentified Aerial Phenomena by Barry Whittaker (Radioworm),Kulturno uredništvo,Radia Network,19. 5. 2022 – 22.30
Alternativna turistična info točka,Neža Vengust,Kulturni obzornik,19. 5. 2022 – 15.10
Borisova inventura,Oskar Ban Brejc,Kinobar,19. 5. 2022 – 13.30
Gradnja skupnosti,Neža Urbiha,Kulturni obzornik,18. 5. 2022 – 15.10
ODVISNOST NEODVISNIH,Neža Urbiha,Fine umetnosti,18. 5. 2022 – 13.30
Nadaljevanje že tako predolge zgodbe iz Cirkulacije,Simon Smole,Post,18. 5. 2022 – 7.20
Omamljanje z ilustracijami,Minka Jerala,Kulturni obzornik,17. 5. 2022 – 15.10
"V resnic bi hotli bit kulturni, pa smo sam navaden APR",Jaka Virant,Fine umetnosti,17. 5. 2022 – 13.30
S7E7V7E7N,William Blomstedt,Tube(son),16. 5. 2022 – 23.00
Pasolini med jezikom in realnostjo,Oskar Ban Brejc,Temna zvezda,16. 5. 2022 – 20.00
»Mi pripravljamo enoletne olimpijske igre«,Vid Bešter,Kreativna inšpekcija,16. 5. 2022 – 15.10
Mandič=cirkus & Marko=klovn,Metod Zupan,Teater v eter,16. 5. 2022 – 13.30
Umetnost minglanja,Valerija Intihar,Objekt meseca,15. 5. 2022 – 20.00
"Mladi, ki postajajo...",Brina Jerko,Kulturni obzornik,13. 5. 2022 – 15.10
Mesta trohnenja,Lucija Klauž,Fine umetnosti,13. 5. 2022 – 13.30
Show 892: Aramesh by Lale Rodgarkia-Dara et.al. (Radio Orange 94.0),Kulturno uredništvo,Radia Network,12. 5. 2022 – 22.30
Misliti v slogu,Matija Pušnik,Humanistika,12. 5. 2022 – 13.30
"Zdaj vidite, zakaj potrebujemo šotor?",Iva Slosar,Kulturni obzornik,11. 5. 2022 – 15.10
V tostranskost zakleti,Tina Tomšič,Teater v eter,11. 5. 2022 – 13.30
The greatest story ever told,Michael C. Jumic,Leteči pilot,10. 5. 2022 – 21.00
Bauhaus 2.0.,Valerija Intihar,Kreativna inšpekcija,10. 5. 2022 – 15.10
RŠ-ovec podobo na ogled postavi,Neža Vengust,Fine umetnosti,10. 5. 2022 – 13.30
53 besed,Urška Savič,R A D A R,9. 5. 2022 – 23.00
Razširitev pojma dela,Tibor Suša,Kulturni obzornik,9. 5. 2022 – 15.10
Slavnostno besedičenje,Lara Pustinek Miočić,Dlako z jezika,9. 5. 2022 – 13.30
Ko se je v kinu gledala pornografija,RKHV Vajenke,Repetitio,8. 5. 2022 – 20.00
Vse najboljše,Brina Jerko,Kulturni obzornik,6. 5. 2022 – 15.10
"Na zunaj prijazni, a notri – golazni",Metod Zupan,Humanistika,6. 5. 2022 – 13.30
Show 891: EA by B2Lngr (Jet fm),Kulturno uredništvo,Radia Network,5. 5. 2022 – 22.30
Femi Economicus,Urška Preis,Sektor Ž,5. 5. 2022 – 21.30
Od Vardara do Triglava,Marko Stanojević,Kulturni obzornik,5. 5. 2022 – 15.10
Who is the real slabič?,Simon Smole,Kosilo nekega molja,5. 5. 2022 – 13.30
Ozaveščenost o študentski politiki na Majskih igrah,Lenart Sušnik,Kulturni obzornik,4. 5. 2022 – 15.10
Slovenske pravljičarke ali Evropejke,RKHV Vajenke,Humanistika,4. 5. 2022 – 13.30
Lisica proti vrani,Mato Žgajner,Pritiskavec Gold,3. 5. 2022 – 21.00
Razčlovečeni svet Norberta Pfaffenbichlerja,Lenart Sušnik,Subjekt meseca,3. 5. 2022 – 18.00
Otroško gledališče v Istri?,Iva Slosar,Kulturni obzornik,3. 5. 2022 – 15.10
Zmrcvarjeno telo lutke,Oskar Ban Brejc,Kinobar,3. 5. 2022 – 13.30
Hiranje ekstra II: za-manj,Neja Berger,Art-area,2. 5. 2022 – 23.00
"Spet, še enkrat, na novo - Plečnik",Martin Pečan,Kreativna inšpekcija,2. 5. 2022 – 15.10
Izven okvirjev?,RKHV Vajenke,Teater v eter,2. 5. 2022 – 13.30
Partizanski protiarhiv,Urška Savič,Teorema,1. 5. 2022 – 20.00
Sodobna novozelandska proza II: Pip Adam,Anja Zidar,Tu pa tam,1. 5. 2022 – 18.00
Nelinearni narativi,Samo Oleami,Subjekt meseca,30. 4. 2022 – 15.00
Radio Študent – dopisništvo,Saša Hajzler,Odprti termin za kulturo,29. 4. 2022 – 18.00
Boj za bronasta trupla,Ivan Kobe,Kulturni obzornik,29. 4. 2022 – 15.10
Kapljanje besed,Lara Pustinek Miočić,Kosilo nekega molja,29. 4. 2022 – 13.30
Spomini pregnancev ob 30. obletnici vojne v BiH,Neža Vengust,Kulturni obzornik,28. 4. 2022 – 15.10
Pasovi in okovja blaznosti,Tim Obreza,Humanistika,28. 4. 2022 – 13.30
Samopomoč trde vezave,Matija Pohorec,Subjekt meseca,27. 4. 2022 – 18.00
»In naenkrat so vse okrog mene lezbijke«,Metod Zupan,Kulturni obzornik,27. 4. 2022 – 15.10
Ob letu osorej,Matjaž Zorec,Dlako z jezika,27. 4. 2022 – 13.30
Too soon,Michael C. Jumic,Leteči pilot,26. 4. 2022 – 21.00
Eno karto al' dve,Urška Savič,Kulturni obzornik,26. 4. 2022 – 15.10
Biti ali ne biti morilec,RKHV Vajenke,Kosilo nekega molja,26. 4. 2022 – 13.30
Večer s kemnškimi muskontarji,Lenart Sušnik,Odprti termin za kulturo,25. 4. 2022 – 23.00
Ekumenopolis,Urška Škerl,Tipologije prostora,25. 4. 2022 – 20.00
Razstavne revizije,Valerija Intihar,Kreativna inšpekcija,25. 4. 2022 – 15.10
Z meja polomljenih sistemov,Valerija Intihar,Fine umetnosti,25. 4. 2022 – 13.30
Tunja: »Ne hodte jesen al pa kj dž«,Vid Bešter,Objekt meseca,24. 4. 2022 – 20.00
Po sledeh Študenteatra,Samo Oleami,Ulična kritika,24. 4. 2022 – 18.00
Železnice 2050+,Pavel Lipovšek,Urbi et orbi,23. 4. 2022 – 15.00
Iskra v sodu baruta,Lara Pustinek Miočić,Kulturni Offsajd,22. 4. 2022 – 18.00
"K avantgardam, leto kasneje",Valerija Intihar,Kulturni obzornik,22. 4. 2022 – 15.10
Kako udobna pa je klop v tvoji galeriji?,RKHV Vajenke,Fine umetnosti,22. 4. 2022 – 13.30
Show 889: Secret Set by Milo Thesiger-Meacham (Resonance),Kulturno uredništvo,Radia Network,21. 4. 2022 – 22.30
RKHV ekskurzija v Dom kulture Kamnik,Samo Oleami,Kulturni Offsajd,21. 4. 2022 – 18.00
Mladi umetniki v nekdanji ribarnici,RKHV Vajenke,Kulturni obzornik,21. 4. 2022 – 15.10
Aktiviranje socialnega,Hana Hunjet,Humanistika,21. 4. 2022 – 13.00
Neža Dvorščak (I8M) o Pravici do izbire,Pia Nikolič,Subjekt meseca,20. 4. 2022 – 18.00
Pogovor s kamniško fotografinjo Pino Lenart,Lenart Sušnik,Subjekt meseca,20. 4. 2022 – 15.10
Uporabno junaštvo,Tibor Suša,Kinobar,20. 4. 2022 – 13.30
Debela laž in obsežna resnica,Simon Smole,Post,20. 4. 2022 – 7.15
Svobodni video v Kamniku,Iva Slosar,Kulturni obzornik,19. 4. 2022 – 15.10
Kdo je Latour?,Svit Komel,Humanistika,19. 4. 2022 – 13.30
)YES.NO(,William Blomstedt,Tube(son),18. 4. 2022 – 23.00
Radikalna potencialnost ali ničes?,Anja Banko,Temna zvezda,18. 4. 2022 – 20.00
Kako nastaja Kamfest?,Samo Oleami,Kulturna diagnoza,18. 4. 2022 – 15.10
Lociranje topline,Metod Zupan,Teater v eter,18. 4. 2022 – 13.30
"Ukrajina 2022, fotografija je simbolična",Iva Slosar,Objekt meseca,17. 4. 2022 – 20.00
Sodobna novozelandska proza I: Kelly Joseph,Anja Zidar,Tu pa tam,17. 4. 2022 – 18.00
Študenti na odru,RKHV Vajenke,Kulturni obzornik,15. 4. 2022 – 15.10
Prelivanje v preddverju,Marko Stanojević,Kosilo nekega molja,15. 4. 2022 – 13.30
Show 888: The Choir (Kanal 103),Kulturno uredništvo,Radia Network,14. 4. 2022 – 22.30
"Moje ulice, šestič: Marija Goričan",Špela Frlic,Špajza RŠ,14. 4. 2022 – 21.30
Mladi v Mladinskem,Iva Slosar,Kulturni obzornik,14. 4. 2022 – 15.10
Kritika političnega idealizma,Ivan Kobe,Humanistika,14. 4. 2022 – 13.30
Vsi smo na isti strani,Vid Bešter,Dlako z jezika,13. 4. 2022 – 15.10
Nekje med Zofko Kveder in Virginio Woolf,Tia Kozjek,Kulturni Offsajd,13. 4. 2022 – 13.30
Radio song,Michael C. Jumic,Leteči pilot,12. 4. 2022 – 21.00
Bori je kucal v Vitanju,Ivan Kobe,Kulturni obzornik,12. 4. 2022 – 14.27
Arhiv ženskih pogledov,Valerija Intihar,Fine umetnosti,12. 4. 2022 – 13.30
Predvolilni programi pod drobnogledom,Metod Zupan,Intimno s stroko,11. 4. 2022 – 23.00
Žirija ne bo podelila nagrade za najboljšo uprizoritev,Varja Hrvatin,Teritorij teatra,11. 4. 2022 – 20.00
Predvolilni kulturni golaž,Martin Pečan,Intimno s stroko,11. 4. 2022 – 17.00
Kako vzklije um?,Jaka Bombac,Teorema,10. 4. 2022 – 20.00
Opojnost in upornost v stripu,Jan Medved,Stripofilija,10. 4. 2022 – 18.00
Kdo lahko dobi Gruma?,Iva Slosar,Kulturni obzornik,8. 4. 2022 – 15.10
Tod sekla bridka so jekla,Pia Nikolič,Striptiz,8. 4. 2022 – 13.30
Meje vašega in našega feminizma,Tia Kozjek,Sektor Ž,7. 4. 2022 – 21.30
S čim nas zalagata Goga in Cankarjeva založba,Martin Pečan,Kulturni obzornik,7. 4. 2022 – 15.10
Prasica je zakon!,Lenart Sušnik,Kinobar,7. 4. 2022 – 13.30
Zaprašene debate,Urška Savič,Kulturni obzornik,6. 4. 2022 – 15.15
Postajati avtorica,Anja Zidar,Kosilo nekega molja,6. 4. 2022 – 13.30
Psihonavti,Rasto Pahor,Pritiskavec Gold,5. 4. 2022 – 21.00
Ni šans.,Vid Bešter,Kulturni obzornik,5. 4. 2022 – 15.10
Malo zgodbe za vsakega,RKHV Vajenke,Teater v eter,5. 4. 2022 – 13.30
"1,5 + Asinhronost",Urška Savič,R A D A R,4. 4. 2022 – 23.00
Golobi za tvojo tančico,Matjaž Zorec,Literarni incest,4. 4. 2022 – 20.00
Kombi za decentralizacijo slovenske mode,RKHV Vajenke,Kreativna inšpekcija,4. 4. 2022 – 15.10
Domišljija kot jalova revolucionarka,RKHV Vajenke,Kosilo nekega molja,4. 4. 2022 – 13.30
»Z nago ritjo po žiletkah«,Tina Tomšič,Subjekt meseca,3. 4. 2022 – 20.00
Italijanski cikel IV: Fabrizia Ramondino,Anja Zidar,Tu pa tam,3. 4. 2022 – 18.00
"Not laughing anymore, no. 1",RKHV Vajenke,Kulturni obzornik,1. 4. 2022 – 15.10
Bhezmejna ljubezen,Metod Zupan,Kinobar,1. 4. 2022 – 13.30
"Show 887: “KINsequences, a sculpture that wants to get made”, by Writers Kin – Soundart Radio, Devon, UK",Kulturno uredništvo,Radia Network,31. 3. 2022 – 22.30
Demistifikacija fašizma,RKHV Vajenke,Kulturni obzornik,31. 3. 2022 – 15.10
V trenu oka,Lenart Sušnik,Kinobar,31. 3. 2022 – 13.30
"Pripovedi, za koga?",RKHV Vajenke,Kulturni obzornik,30. 3. 2022 – 15.10
Feministične nebuloze,RKHV Vajenke,Humanistika,30. 3. 2022 – 13.30
The blueprint,Michael C. Jumic,Leteči pilot,29. 3. 2022 – 21.00
Razmisleki o animaciji,Tia Kozjek,Kulturni obzornik,29. 3. 2022 – 15.10
Rdeči gozdovi,Tina Tomšič,Fine umetnosti,29. 3. 2022 – 13.30
Hoja po robovih,RKHV Vajenke,Subjekt meseca,28. 3. 2022 – 23.00
Bajonet in šestilo,Blaž Šenica,Hertz arhitektur,28. 3. 2022 – 20.00
Sprememba pogleda na divje prostore,RKHV Vajenke,Kreativna inšpekcija,28. 3. 2022 – 15.10
Približujoča se minljivost,Matija Pohorec,Teater v eter,28. 3. 2022 – 13.30
Ekspedicija na Opus 1,Samo Oleami,Ulična kritika,27. 3. 2022 – 18.00
Prostorski programi strank 2022,Pavel Lipovšek,Urbi et orbi,26. 3. 2022 – 15.00
Dezinstitucionalizacija socialnovarstvenih zavodov,RKHV Vajenke,Kulturni obzornik,25. 3. 2022 – 15.10
Okrušeni tlakovci,Marko Stanojević,Pisma iz tujine,25. 3. 2022 – 13.30
Show 886: “Rituel radioactif de désenvoûtement de la finance” by Laboratoire sauvage de recherches expérimentales Désorceler la Finance – Radio Campus Bruxelles,Kulturno uredništvo,Radia Network,24. 3. 2022 – 22.30
"Prasica, slabšalni izraz za žensko",Lara Pustinek Miočić,Subjekt meseca,24. 3. 2022 – 18.00
Umetnost ali kava?,RKHV Vajenke,Kulturni obzornik,24. 3. 2022 – 15.10
Plastenje bolečin,Lucija Klauž,Fine umetnosti,24. 3. 2022 – 13.30
Kultura na kavi,Lara Pustinek Miočić,Kulturni obzornik,23. 3. 2022 – 15.10
Vrnitev v Reims,Urška Savič,Humanistika,23. 3. 2022 – 13.30
Klorofil,Simon Smole,Post,23. 3. 2022 – 7.15
Opazovanje pokrajine,RKHV Vajenke,Kulturni obzornik,22. 3. 2022 – 15.10
Klavir in švic,Samo Oleami,Teater v eter,22. 3. 2022 – 13.30
ICE as Cold,William Blomstedt,Tube(son),21. 3. 2022 – 23.00
Sanje so navidezno doživetje,Lenart Sušnik,Temna zvezda,21. 3. 2022 – 20.00
Sprožiti ali biti sprožen,Tia Kozjek,Kreativna inšpekcija,21. 3. 2022 – 15.10
Posmrtno mehko teroriziranje,Tina Tomšič,Fine umetnosti,21. 3. 2022 – 13.30
In tako si mrmram svoje življenje,Andrea Zabric,Objekt meseca,20. 3. 2022 – 20.00
Italijanski cikel III: Michela Murgia,Anja Zidar,Tu pa tam,20. 3. 2022 – 18.00
Slovenci in alkoholizem,RKHV Vajenke,Kulturni obzornik,18. 3. 2022 – 15.10
Peskovnik skreganih nazorov,Metod Zupan,Dlako z jezika,18. 3. 2022 – 13.30
Show 885: 1336 et après… | François Wong (Radio Grenouille – Euphonia),Kulturno uredništvo,Radia Network,17. 3. 2022 – 22.30
Kako se misli gibljejo?,Jaka Bombac,Kulturni Offsajd,17. 3. 2022 – 18.00
MGML hobotnica,RKHV Vajenke,Kulturni obzornik,17. 3. 2022 – 15.10
Prepih spomina,Lara Pustinek Miočić,Kosilo nekega molja,17. 3. 2022 – 13.30
Svoboden kulturni program,Lara Pustinek Miočić,Kulturni obzornik,16. 3. 2022 – 15.10
Nekje morišče je na hribu,Marko Stanojević,Kosilo nekega molja,16. 3. 2022 – 13.30
Unplugged,Michael C. Jumic,Leteči pilot,15. 3. 2022 – 21.00
Plesne miniature na odru Španskih borcev,RKHV Vajenke,Kulturni obzornik,15. 3. 2022 – 15.10
Branik svobode je glagol,Jaka Virant,Striptiz,15. 3. 2022 – 13.30
V Rogu ni blo n'benga,Urška Savič,R A D A R,14. 3. 2022 – 23.00
A zdej štejemo všečke?,Varja Hrvatin,Teritorij teatra,14. 3. 2022 – 20.00
Kako na mednarodni trg fotografije?,RKHV Vajenke,Kreativna inšpekcija,14. 3. 2022 – 15.15
Patriarhat na vrhuncu,Tia Kozjek,Kinobar,14. 3. 2022 – 13.30
Vsaka rwža jma trn,RKHV Vajenke,Repetitio,13. 3. 2022 – 20.00
Hrvaški strip fanzini in revije,Pia Nikolič,Stripofilija,13. 3. 2022 – 18.00
"»Kam nese te perut, nesreča?«",Anže Okorn,Kosilo nekega molja,12. 3. 2022 – 12.00
V iskanju slovenstva,Matija Pohorec,Subjekt meseca,11. 3. 2022 – 18.00
"Pazi, da se ne zbodeš",RKHV Vajenke,Kulturni obzornik,11. 3. 2022 – 15.10
✕,Metod Zupan,Teater v eter,11. 3. 2022 – 13.30
Oddaja o zborovski glasbi in glasovih na Radiu Študent #5,Anonymous,Špajza RŠ,10. 3. 2022 – 21.30
Na vrhu hierarhije,RKHV Vajenke,Kulturni obzornik,10. 3. 2022 – 15.10
Kako majcena je lahko pesem?,RKHV Vajenke,Kosilo nekega molja,10. 3. 2022 – 13.30
"Malo retro, malo frišno",Tia Kozjek,Kulturni obzornik,9. 3. 2022 – 15.10
Dziga Vertov: Kinopravda,Vid Bešter,Kinobar,9. 3. 2022 – 13.30
PostUkrajina,Simon Smole,Post,9. 3. 2022 – 7.15
"Pssst, pod škatlo sem",Mato Žgajner,Pritiskavec Gold,8. 3. 2022 – 21.00
Nojz feminizma,RKHV Vajenke,Kulturni obzornik,8. 3. 2022 – 15.10
Živel 8. marec!,Kulturno uredništvo,Dlako z jezika,8. 3. 2022 – 13.30
Instalacija: med teorijo in prakso,Tina Tomšič,Art-area,7. 3. 2022 – 23.00
Mir. Vojna in mir.,Matjaž Zorec,Literarni incest,7. 3. 2022 – 20.00
Inšpekcija razvoja,RKHV Vajenke,Kreativna inšpekcija,7. 3. 2022 – 15.10
Rasa je otrok rasizma,Ana Lorger,Kosilo nekega molja,7. 3. 2022 – 13.30
Mehanizem časa v razsvetljenskem pogledu na svet,Domen Mohorič,Teorema,6. 3. 2022 – 20.00
Italijanski cikel II: Anna Maria Ortese,Anja Zidar,Tu pa tam,6. 3. 2022 – 18.00
Tonči Kuzmanić 1956–2021,Nejc Bahor,Odprti termin za kulturo,5. 3. 2022 – 23.00
Obzorja gozdov,RKHV Vajenke,Kulturni obzornik,4. 3. 2022 – 15.10
50 odtenkov modre v Galeriji Jakopič,RKHV Vajenke,Fine umetnosti,4. 3. 2022 – 13.30
La donna delinquente,Lucija Ivanuša,Sektor Ž,3. 3. 2022 – 21.30
Koliko stane navdih?,RKHV Vajenke,Kulturni obzornik,3. 3. 2022 – 15.10
Samomor poslednjega antiheroja?,Jaka Bombac,Serijski motrilci,3. 3. 2022 – 13.30
Kaj je knjiga umetnika?,RKHV Vajenke,Kulturni obzornik,2. 3. 2022 – 15.10
Odfukana predstava s sfukanimi implikacijami,Metod Zupan,Teater v eter,2. 3. 2022 – 13.30
Color revolution,Michael C. Jumic,Leteči pilot,1. 3. 2022 – 21.00
En dan za optimizem,RKHV Vajenke,Kulturni obzornik,1. 3. 2022 – 15.10
Še predobro,Anja Zidar,Dlako z jezika,1. 3. 2022 – 13.30
Čudni slučaj plemena Smangus,Saša Hajzler,Repetitio,28. 2. 2022 – 23.00
Postlokaliziranje,RKHV Vajenke,Kulturni obzornik,28. 2. 2022 – 15.10
Štiri perspektive iz Kijeva,Saša Hajzler,Pisma iz tujine,28. 2. 2022 – 13.30
Med slučaji,Marko Stanojević,Objekt meseca,27. 2. 2022 – 20.00
Koordinate kurcanja,Samo Oleami,Ulična kritika,27. 2. 2022 – 18.00
Pogoji masakra,Metod Zupan,Destilator,26. 2. 2022 – 12.00
"Kul o kulturi, zaveze k razmislekom o rešitvah, 2. del",RKHV Vajenke,Kulturni obzornik,25. 2. 2022 – 15.10
V službi branja prihajajočih poljubov,Andrea Zabric,Kosilo nekega molja,25. 2. 2022 – 13.30
V Deželi pridnih o eroziji demokracije,RKHV Vajenke,Kulturni obzornik,24. 2. 2022 – 15.10
"Rad te imam, Govinda",Lenart Sušnik,Pisma iz tujine,24. 2. 2022 – 13.10
Z grafiki o grafiki,RKHV Vajenke,Kulturni obzornik,23. 2. 2022 – 15.10
"Spucati tako, da bo čist(unsk)o",Metod Zupan,Teater v eter,23. 2. 2022 – 13.30
"KUL o kulturi, kultura na vrata, 1. del",RKHV Vajenke,Kulturni obzornik,22. 2. 2022 – 15.15
»Le z dolžinama naju grejeva dom«,Tina Tomšič,Kosilo nekega molja,22. 2. 2022 – 13.30
ME($)MYSELF($)I,William Blomstedt,Tube(son),21. 2. 2022 – 23.00
Revna in bogata podoba,Oskar Ban Brejc,Temna zvezda,21. 2. 2022 – 20.00
Blišč in beda samopromocije,RKHV Vajenke,Kreativna inšpekcija,21. 2. 2022 – 15.10
Srce liberalizma,Matija Pohorec,Pisma iz tujine,21. 2. 2022 – 13.30
Italijanski cikel I: Donatella Di Pietrantonio,Anja Zidar,Tu pa tam,20. 2. 2022 – 18.00
Opolnomočenje periferij,Metod Zupan,Kulturni obzornik,18. 2. 2022 – 15.10
Blagovest kulturnikom: Nacionalni program za kulturo!,Anonymous,Napihovanje,18. 2. 2022 – 13.30
Show 881: sometimes i feel like i have no friends by Claire Rousay (WORM),Kulturno uredništvo,Radia Network,17. 2. 2022 – 22.30
Njih bog je trebuh: frančiškanska pekarna,RKHV Vajenke,Kulturni obzornik,17. 2. 2022 – 15.10
Predihavanje,Lucija Klauž,Fine umetnosti,17. 2. 2022 – 13.30
Drage Dragice,Metod Zupan,Kulturna diagnoza,16. 2. 2022 – 18.00
Novo Mesto zločina,RKHV Vajenke,Kulturni obzornik,16. 2. 2022 – 15.15
"Še kr hudo, ampak ...",Marko Stanojević,Serijski motrilci,16. 2. 2022 – 13.30
About a girl,Michael C. Jumic,Leteči pilot,15. 2. 2022 – 21.00
